Time,Detrended Pressure
608.4316021,-73.3931089724515
608.5108884,-74.0867313637159
608.601034,-72.87535445035246
608.6012963,-74.8776491362346
608.6774543,-73.54390413960755
608.7631693,-74.29376689354149
608.8515536,-76.06698155378263
609.0104598,-78.45714477782985
609.0919573,-77.17011146731011
609.1773666,-78.9172998580184
609.2631029,-80.66734895129457
609.4264698,-82.09653583265344
609.5161133,-82.88076638485927
609.6068946,-81.67495078226602
609.6947435,-84.44348158882394
609.8661129,-85.94267694814334
609.8664128,-84.9453005710784
609.9564306,-86.73280562166565
610.0435758,-85.49518023129258
610.1281568,-86.23512238366357
610.1284288,-88.23750192830676
610.2917297,-88.666111420157
610.3817951,-90.45403289105707
610.5598979,-92.01213422794535
610.7242991,-92.45036950277608
610.807918,-93.18189489080532
610.9820621,-93.7053642299802
611.0659961,-95.43964621549867
611.1572674,-97.23811729259342
611.2411474,-95.97192686851395
611.3309997,-97.75798407116554
611.4157476,-98.49938631912846
611.4972866,-100.21271606413302
611.6611005,-101.64581344716635
611.7393411,-100.33028771404452
611.8240717,-101.07153861596998
611.8243674,-103.07412549593619
611.9129342,-101.8489367256525
611.9960726,-102.57625854309026
612.082995,-105.33668402570811
612.1660986,-104.06370140140507
612.2494935,-105.79326716443438
612.3350613,-107.54184216479734
612.4106101,-106.20276768803615
612.4867587,-106.86894045714553
612.5712834,-109.60839007876939
612.6494572,-108.29227995747806
612.7366611,-111.05516809383471
612.90619,-111.53826215934714
612.9836696,-112.21607895022089
613.0633445,-113.91310094092796
613.1515791,-114.68500597678258
613.2429996,-115.48478230410046
613.328892,-116.23619701104826
613.404645,-114.89890894243445
613.4936736,-116.67776014904848
613.5841729,-118.46947751855305
613.5844478,-116.4718824333413
613.6595615,-117.12900155998386
613.7369317,-119.805861284005
613.8900453,-120.14534895548331
613.9737117,-121.87728988899335
614.2331448,-124.14689519527201
614.471214,-126.22960214200157
614.6460981,-127.75954524233748
614.7212002,-126.41656288839977
614.812018,-127.21106659970201
614.9034476,-129.01092253678507
614.9037326,-128.01341580966528
614.988253,-129.75282781348733
614.9885503,-130.75542869077526
615.0744344,-131.50677078661784
615.0747379,-129.5094259035268
615.1525683,-132.19031160712348
615.2330469,-132.89436462735057
615.4780671,-134.03788118736384
615.6558056,-134.59279550912925
615.7330083,-137.26818988856257
615.9024817,-137.75079842198875
615.9809899,-139.4376137408758
616.0659339,-138.18073153554633
616.1521257,-138.93476549126672
616.234739,-141.6574935627782
616.3099041,-140.31506235337156
616.3901559,-142.0171312532866
616.4749507,-142.75894379773354
616.5631526,-143.530562763332
616.5634106,-142.53281983141233
616.650699,-144.29644720130682
616.6509617,-145.29874538651848
616.735148,-146.03523457466008
616.8180621,-144.76059414260044
616.904177,-145.51395535205893
616.9849936,-147.2209653064383
617.073268,-148.99321852566345
617.1550881,-147.70900742507638
617.2445666,-150.49179450350948
617.3327247,-151.2630302924331
617.4975326,-152.70482351140436
617.5736982,-153.37114500205462
617.6524541,-154.06012728126552
617.7328227,-154.7632179856446
617.8172041,-153.50141397216748
617.8975179,-154.20402526828775
617.8978185,-156.20665501505118
617.9729423,-156.86386249978523
618.0630961,-155.65255732269407
618.0633742,-156.65499023212533
618.1462985,-157.38043903298967
618.1468315,-158.3851018906903
618.3964878,-159.56917656437645
618.4761439,-160.26603408655683
618.5625689,-161.02210815187527
618.6499452,-161.7865044996156
618.7413772,-163.58638143268126
618.8321978,-164.38090963929562
618.9104808,-163.0657548351919
618.9950353,-164.80546515692686
619.0720496,-166.4792113517624
619.2457346,-167.99866433452007
619.4018916,-169.364776661022
619.4898488,-170.13425491127373
619.5661749,-170.80198050822946
619.5664611,-169.80448427910005
619.6493835,-170.52991645814518
619.6496628,-171.5323598655673
619.7408366,-170.32997798088718
619.7410945,-172.332234174135
619.8200275,-173.02276578186138
619.9041116,-171.7583608910968
619.904369,-172.7606127101817
619.9847267,-173.46360805780841
620.1653904,-176.04411298247624
620.2545423,-174.82404285767325
620.3304931,-177.48848520792126
620.5033111,-179.000353392129
620.5805718,-177.67625517446504
620.6650182,-179.41501980217072
620.7496059,-180.1550205683261
620.8358356,-181.9093860855969
621.0121032,-182.4514324948068
621.0977793,-183.20095493886356
621.2615107,-185.63333058501075
621.344316,-184.35773833509347
621.4340249,-185.1425410278125
621.4342755,-187.14473335828188
621.5185724,-185.88219011126648
621.5188268,-186.88441568537382
621.6028426,-187.61941328395005
621.6929156,-189.40740124212698
621.8574617,-189.84690414937904
621.9455917,-190.61789411034533
622.0271189,-191.33112062510463
622.1171016,-192.11831860945313
622.1940829,-192.7917761095341
622.2707423,-194.46241752350988
622.3584834,-195.23000526053647
622.4406397,-193.9487353471145
622.5212127,-195.65361420930594
622.6816427,-198.05710813234919
622.7726165,-196.852976582491
622.8628167,-199.64207732772093
622.9388924,-200.3076123438732
623.0215873,-199.03105427877745
623.1024531,-199.73849465079047
623.1889999,-202.49563426220266
623.1892514,-201.49783446616493
623.3671862,-202.05446608430293
623.4545569,-204.81881344141857
623.530118,-203.479846569066
623.6173096,-205.24262710101448
623.786169,-205.71986416234176
623.87211,-207.4717040379278
623.9502071,-208.15492292004046
