Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
5.363859864,2239.011612,,,1702.85426,1655.636772,1303.40981,1165.262568,,298.6475868,1702.85426
5.364120741,,1589.60818,1307.045572,,,,,1325.847998,,
5.445079149,2216.074043,1589.735677,1308.652939,1703.091103,1672.158298,1317.893269,1172.700571,1320.973957,292.3161799,1703.091103
5.527266836,2238.947961,1590.395298,1308.479535,1703.49371,1664.19443,1335.712112,1170.733702,1329.258226,298.0366861,1703.49371
5.606418069,2223.616078,1589.938929,1307.692034,1703.255425,1649.684361,1349.633145,1170.429502,1329.541536,301.7629398,1703.255425
5.691816042,2239.227831,1591.257977,1308.5957,1702.9485,1649.272707,1340.671164,1162.728526,1319.916376,292.3931979,1702.9485
5.77572661,2238.078349,1589.806756,,,1654.624952,1318.46856,1156.25442,1324.278101,295.9067806,
5.86202202,2235.174494,1589.942926,1308.289826,1703.60783,,,,1332.996057,296.8517062,1703.60783
5.862309069,,,,,1637.30278,1283.079775,1153.647908,,,
5.951884198,2244.552431,1590.163596,1308.089826,1703.404515,1628.951182,1283.563632,1151.744524,1326.356956,295.289155,1703.404515
6.034933421,2229.683533,,,1702.921843,,,,,299.7390527,1702.921843
6.035185151,,1590.204952,1308.411737,,1606.991282,1298.266084,1152.417439,1321.19114,,
6.110391274,2246.106625,1589.564275,1308.071448,1702.8411,1602.633739,1303.79708,1164.979272,1328.975696,298.5180903,1702.8411
6.200096669,2222.093987,1590.664934,1308.956098,1703.216031,1606.966601,1305.186715,1173.266953,1332.081094,296.3241625,1703.216031
6.278086601,2245.677317,1590.928393,1308.578967,,1605.274838,1324.444522,1181.4972,1321.039272,300.320363,
6.3601574,2216.578785,1589.934586,1307.297136,1703.635715,1603.67057,1340.890495,1171.460764,1322.516714,290.7825502,1703.635715
