Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
281.0375886,,2109.438159,1581.801568,,,,,1335.960912,,
281.1236792,,2109.480652,,,,,,1335.25822,,
281.1239766,,,,,1643.488853,1306.271254,1693.425957,,,
281.1245678,2319.362117,,,2140.285071,,,,,1367.997179,2140.285071
281.200929,2338.884436,,,2140.341017,1649.398917,1306.00719,1693.500651,,1367.998012,2140.341017
281.2012245,,2110.029281,1582.281478,,,,,1336.591567,,
281.2854705,2323.407656,2109.506027,1581.779752,2140.54168,1646.078684,1330.664177,,1337.671892,1368.033085,2140.54168
281.3770573,2341.380033,2109.782756,1582.551695,2141.33516,1645.626117,1341.770522,1693.46796,1336.467611,1368.054504,2141.33516
281.4614959,2329.791153,2110.023764,1582.96089,2141.57587,1637.034547,1334.497519,,1337.35655,1368.14849,2141.57587
281.5528665,2337.398721,2109.749238,1583.302588,2141.705972,1625.681105,1297.338695,1693.501627,1338.625794,1368.239528,2141.705972
281.6429628,2338.329901,2109.635262,1582.773831,2142.146576,1612.777753,1278.544849,1693.789143,1336.648204,1368.26069,2142.146576
281.7232947,2330.864043,2109.67859,1583.375472,,1603.494305,1287.146521,1694.406002,1335.797979,1368.316097,
281.8125857,2345.796887,2109.868351,1583.529717,2143.060907,1605.728931,1303.53525,1694.493219,1336.226921,1368.295604,2143.060907
281.8981555,2324.651326,2110.165835,1583.680087,2142.847296,1609.760408,1308.991115,,1337.18822,1368.441117,2142.847296
281.9895814,2340.44091,2110.267199,,2143.711999,1610.078624,1304.3975,1695.101511,1336.76731,1368.419633,2143.711999
282.0789855,2325.935722,2110.113105,1583.815287,,1606.643941,1325.022911,1695.007771,1336.009267,1368.529283,
282.159974,2336.981975,2110.439879,1584.002869,2144.707074,1603.580725,1340.386187,1695.437788,,1368.52229,2144.707074
282.2389435,2326.881553,2110.567263,1584.540408,2145.225318,1604.565106,1337.356464,1695.90359,1337.098577,1368.628146,2145.225318
282.3171463,2335.330979,2110.478279,1584.253981,2144.765392,1612.341346,1304.446383,1696.264224,1335.911119,1368.599662,2144.765392
282.4017271,2333.036111,2110.667311,1584.770173,2145.366086,1629.870521,1274.02991,1696.527758,1336.590169,1368.65267,2145.366086
282.4929838,2330.835084,2110.477889,1585.014599,2145.464011,1648.086542,1286.249674,1696.511028,1337.687551,1368.805113,2145.464011
282.5714023,2337.168935,2110.75966,,2145.929906,1654.576266,1299.349801,,1336.634176,1368.764368,2145.929906
282.6589799,2323.293351,2110.604166,1585.261803,,,,,1337.385702,1368.814817,
282.6592421,,,,,1649.6827,1305.344856,1697.232907,,,
282.7369186,,2110.843661,1585.499274,,1646.902235,1302.283283,1697.32281,1336.141462,,
282.7371812,2339.651784,,,2146.357245,,,,,1368.841918,2146.357245
282.8250465,2319.962668,2110.633414,1585.282176,2147.096496,1649.287621,1321.537925,1697.494132,1336.702595,1368.933144,2147.096496
282.9159887,2343.077135,,1586.39717,2147.12894,1640.724329,1335.423362,1697.80812,1335.765956,1368.939997,2147.12894
282.992467,2329.456062,2110.76414,1586.265073,2146.934708,1631.701018,1340.625507,1698.244355,1335.73555,1369.013835,2146.934708
283.0736216,2342.381166,,1586.185873,2147.500971,1625.028479,1305.02178,1697.963221,1337.733272,1369.129248,2147.500971
283.1651194,2335.003954,2111.015658,1586.654039,2148.068994,1604.781853,1273.862122,1698.922267,1337.413237,1369.191009,2148.068994
283.253706,2335.259006,2110.977988,1586.376218,2147.58121,1602.391637,1278.75942,1698.989641,1336.162012,1369.112803,2147.58121
283.3380347,2340.047271,2110.809619,1586.78803,2147.996851,1607.61065,1295.193571,1699.278277,1337.06013,1369.203838,2147.996851
283.4262363,2328.227503,2110.95469,1587.018339,2148.383161,,1302.488115,1699.201329,1337.577108,1369.285844,2148.383161
283.5063533,2345.180943,2111.385058,1587.752218,2148.985681,1608.081178,1299.705237,1699.411969,1336.327211,1369.273091,2148.985681
283.5832104,2324.972759,,1588.090255,2149.220288,1609.344503,1316.656498,1700.021861,1335.423404,1369.388303,2149.220288
283.6623827,2344.742152,2111.155626,1587.819814,2149.767159,1604.873778,1334.348952,,1336.621742,1369.469856,2149.767159
283.7444916,2328.636943,2112.081178,1588.175283,2150.185996,1608.3852,1341.995399,1700.715112,1337.438955,1369.468121,2150.185996
283.820239,2340.941734,2111.550765,1588.447315,,1616.89456,1308.343602,1701.430559,1336.135993,1369.523419,
283.9086522,2333.233361,2111.991084,1588.002514,2150.05202,1638.044344,1272.140135,1700.641387,1336.655799,1369.599363,2150.05202
283.9870748,2337.52318,2111.784484,1588.237547,2150.947546,1653.587272,1273.941223,1700.799611,1337.754754,1369.637989,2150.947546
284.0714462,2342.847893,2112.335366,,2151.339981,1660.532139,1290.163068,1701.923447,1337.670011,1369.71522,2151.339981
284.153737,,2111.886332,1589.219102,,1653.480558,1304.095857,1701.596537,1335.711487,,
284.1540399,2329.030581,,,2150.924579,,,,,1369.737543,2150.924579
284.2372184,2346.76291,2112.051305,1588.701906,2151.589386,1645.661822,1300.944275,1701.386991,,1369.742127,2151.589386
284.3123673,2320.238816,2112.443503,1589.090508,2152.346495,1643.142926,1311.336647,1702.71171,1338.452093,1369.801017,2152.346495
284.398188,2347.106837,2111.785096,1589.3305,2152.059455,1638.034103,1332.886194,1702.828555,1337.814588,1369.850705,2152.059455
284.4897271,2324.972036,2112.268507,1589.263341,2152.690354,1624.685583,1341.847678,1702.653073,1335.713956,1369.920093,2152.690354
284.574224,2343.365225,2111.849293,1589.763701,2152.397424,1607.138863,1316.301691,1702.328713,1337.583964,1369.982771,2152.397424
284.6596165,2334.592455,2111.890576,1589.898453,2152.459941,1599.096445,1279.697122,1703.159878,1337.709107,1369.946819,2152.459941
284.7412223,2339.312725,2111.989623,1590.287243,,1604.523941,1273.740711,1703.763194,1335.962513,1370.072706,
284.8168648,2342.151522,2111.741441,1590.43596,2153.363511,1609.992131,1289.308677,1703.277096,1336.922465,1370.043824,2153.363511
284.9046387,2330.532372,2112.177918,1590.387559,,1604.883411,1302.507327,1703.911355,1337.697214,1370.117889,
284.9872677,2346.65274,2112.530932,1590.756931,2153.855811,1596.326056,1303.024892,1704.025995,1337.401229,1370.141663,2153.855811
285.0768019,2324.890845,2112.170039,1590.994101,2153.676902,1595.376733,1305.827033,1704.53733,1335.1556,1370.249153,2153.676902
285.1657145,2349.34635,2112.355436,,2154.512306,1603.782564,1334.006778,1704.200138,1337.32772,1370.253523,2154.512306
285.2564362,2329.646699,2112.277277,1591.277031,2154.922813,1617.006367,1337.966415,1704.736251,1338.040921,1370.266077,2154.922813
285.3426312,2345.7483,2112.03542,,,1634.137009,1325.20681,1705.20091,1336.843848,1370.376644,
285.434148,2336.880219,2112.59986,1591.7018,2154.66743,1648.170753,1288.190287,1705.471538,1336.273142,1370.376112,2154.66743
285.5154503,2338.895321,2112.733255,1592.286737,2155.033564,1653.887452,1275.092399,1705.439107,1337.780029,1370.507712,2155.033564
285.5944535,2342.91172,2112.476938,1591.963651,2156.32034,1658.739388,1287.538414,1705.405756,1337.206395,1370.542335,2156.32034
285.6802634,2331.001959,,1592.253808,2156.159853,,,,1336.629284,1370.562163,2156.159853
285.6805365,,,,,1655.989913,1302.322556,1706.354499,,,
285.7671051,,2112.946229,1591.953954,,1645.087205,1306.902451,1705.913034,1338.17771,,
285.76736,2347.388046,,,2156.398549,,,,,1370.597206,2156.398549
285.85583,,2112.930303,1592.286734,,1643.978321,1300.74045,1706.515846,1338.568503,,
285.8561128,2324.89479,,,2156.630621,,,,,1370.671384,2156.630621
285.933583,,2112.63827,1592.535188,,1636.553468,1328.866739,,1337.692762,,
285.9338387,2347.686983,,,2156.855887,,,,,1370.749474,2156.855887
286.0179293,2326.628909,2113.012289,1592.998857,2157.372147,,,,1336.912628,1370.817041,2157.372147
286.0182274,,,,,1614.313795,1339.368039,1706.704012,,,
286.1022462,,,,,1596.691961,1333.382824,1706.907244,,,
286.1025273,2344.660014,,1592.990772,,,,,1337.383165,1370.858904,
286.1930171,2333.669494,2113.24041,1593.530642,2158.023653,1590.521586,1300.057422,1707.004513,1337.659431,1370.851846,2158.023653
286.268728,2338.603718,2113.190886,1593.478809,2158.148181,1599.238839,1277.226332,1707.995682,1334.960402,1370.935056,2158.148181
286.3562041,2339.500585,2113.37701,1593.705363,2159.224525,1606.233346,1286.563089,1708.204048,1337.106571,1370.907331,2159.224525
286.4383098,2333.343193,2113.577113,1593.400501,2159.983696,1606.34448,1304.193804,1707.84659,1339.613863,1371.037888,2159.983696
286.528196,2345.35633,2113.770418,1593.713008,2159.646139,1596.959163,1309.361424,1708.335605,1337.781651,1371.034939,2159.646139
286.6170078,2327.090836,2113.552566,1594.242003,2159.358303,1590.956115,1299.492377,1708.628079,1335.807145,1371.030811,2159.358303
286.6965568,2350.224109,2113.649405,,2160.236437,1594.85443,1323.486522,1708.734719,1338.937541,1371.177077,2160.236437
286.7859395,2325.003407,2113.550623,1594.302865,2161.179418,1612.472896,1344.327245,1709.096805,1337.324574,1371.127558,2161.179418
286.8685552,2349.059377,2114.050803,1595.093743,2161.689098,1638.980598,1333.335842,1709.448166,1335.555483,1371.225415,2161.689098
286.9464927,2334.253481,2113.86723,1595.17757,2162.565225,1660.356555,1311.265901,1709.527621,1336.861531,1371.334763,2162.565225
287.034422,2343.344265,,1595.058849,2163.288751,1667.566952,1279.228196,1709.876027,1338.890002,1371.371338,2163.288751
287.1165762,2343.614664,2113.96547,1595.445747,2163.577012,1661.847967,1290.072439,1710.235373,1337.954187,1371.407149,2163.577012
287.1918075,2334.267637,2114.08384,1595.323997,2163.709037,1659.953407,1302.39671,,1337.30567,1371.398594,2163.709037
287.2687802,2346.1278,,,2164.86941,1655.50553,1308.770033,1710.643817,,1371.412072,2164.86941
287.2690789,,,1595.718963,,,,,1338.59025,,
287.3469236,,2113.970293,1595.91021,,,,,1338.974489,,
287.3472043,2327.496777,,,2165.080344,1655.358405,1299.769596,1710.833242,,1371.497574,2165.080344
287.4312099,2346.638437,2114.318085,1595.71068,,1643.941028,1321.629877,1711.0152,1337.386104,1371.505953,
287.5086531,,,,,1627.856979,1338.499115,1711.49025,,,
287.5089109,2324.86092,2114.08995,,2165.707081,,,,1337.254525,1371.6695,2165.707081
287.5959841,2345.0658,2114.243078,1596.183362,2166.336869,,,,1339.681771,1371.707691,2166.336869
287.5962811,,,,,1599.506228,1346.374355,1711.438979,,,
287.6860409,2327.357166,2114.009464,1596.10078,2166.483924,,,,1337.940921,1371.735609,2166.483924
287.6862965,,,,,1596.682779,1318.264287,1711.768119,,,
287.7650542,,,1596.17888,,1595.531606,1285.87149,1712.026783,1337.385357,,
287.7656504,2340.292477,,,2166.990048,,,,,1371.721434,2166.990048
287.8513191,2331.934852,2114.215802,1596.001474,2167.133367,1599.335857,1287.708393,1712.614683,1338.091771,1371.800505,2167.133367
287.9341552,2334.789576,2114.32683,1596.378626,2166.867556,1605.925869,1297.952238,1712.84691,1339.231419,1371.804569,2166.867556
288.0150346,2337.308355,2114.91916,,2167.558277,1609.470195,1304.945829,1712.769682,1337.85561,1371.921253,2167.558277
288.091674,2329.251071,2114.665777,1597.197436,2167.80306,1608.097762,1297.793983,1713.219473,1337.734459,1371.921356,2167.80306
288.1819068,2343.353668,2114.173473,1597.645698,2168.302477,1601.524441,1313.809546,,1338.005771,1371.984192,2168.302477
288.2655688,2325.739599,2114.674987,,2168.540573,1604.07657,1337.336055,1713.432485,1337.026395,1372.032632,2168.540573
288.3455347,2349.042412,2114.836495,1597.933428,2168.832135,1621.835848,1350.877953,1713.506277,1337.398935,1372.070007,2168.832135
288.4338358,2327.464068,,1598.508277,2169.388197,1650.176356,1333.098402,1714.008438,1338.774205,1372.080535,2169.388197
288.5116589,2348.776116,2114.681608,1598.985003,2169.332936,1673.54333,1290.497331,1713.723794,1338.635139,1372.183708,2169.332936
288.5959668,2337.335391,,,2170.381285,1673.286737,1292.414869,1714.09377,1338.492888,1372.171301,2170.381285
288.6829735,2342.896333,2114.791609,,2170.62805,1659.413796,1295.890555,1714.837947,1337.269275,1372.297154,2170.62805
288.774095,2345.041057,2114.860236,1598.573437,,,,,1339.389109,1372.277543,
288.7743796,,,,,1652.280606,1303.633032,1714.819732,,,
288.8653334,2332.719231,,,2171.279634,,,,,1372.426753,2171.279634
288.865612,,2114.841851,1598.683075,,1650.195936,1296.40708,,1337.861405,,
288.9482148,2345.206218,2114.457348,1599.392932,2170.940565,1642.80739,1309.873478,1715.327911,1337.402681,1372.454518,2170.940565
289.0357217,2328.232071,,,2171.694087,1635.571731,1332.687365,1715.488522,,1372.525806,2171.694087
289.0360249,,2115.092175,1599.267345,,,,,1339.224334,,
289.1245355,2344.060913,,1599.725592,2171.248373,1608.531652,1348.087765,1715.209838,1340.071723,1372.534689,2171.248373
289.2046615,2326.509332,,1600.188543,2172.199513,1592.581399,1342.079278,1715.644985,1337.779433,1372.626155,2172.199513
289.2851041,,2115.084394,1600.294718,,1593.612131,1308.593788,,1337.058247,,
289.2853761,2344.463397,,,,,,,,1372.701676,
289.3638968,2332.937981,2115.406023,,2172.602229,1598.974513,1297.274561,1716.344355,1339.758365,1372.693238,2172.602229
289.4542684,2339.886216,2115.293184,1600.388783,2173.070433,1605.121038,1291.99259,1716.370128,1338.228555,1372.733641,2173.070433
289.5364684,2336.279378,2115.478979,1600.606541,2173.667064,,1298.246135,,1337.653145,1372.818131,2173.667064
289.6269991,2333.80629,2115.660531,1601.399056,,1602.405119,1287.545182,,1338.64757,1372.891201,
289.7045454,2341.225551,,,2174.674649,1598.598729,1296.77019,1716.857884,1339.824808,1372.97034,2174.674649
289.7897535,2327.434825,2115.446864,,2174.48607,1601.286752,1330.785854,1717.668281,1337.399649,1372.999916,2174.48607
289.8755298,2345.999234,2115.660647,1601.868774,2174.984342,1619.374503,1347.595563,,1338.397398,1372.973313,2174.984342
289.9639351,2325.356131,2115.79191,1602.019154,2174.780792,1646.960741,1352.594718,1717.720575,1338.565065,1373.076383,2174.780792
290.0459482,2349.843548,,,2175.629091,1665.00843,1335.986233,1717.810971,,1373.133423,2175.629091
290.1286829,2330.537579,,1602.543314,,1669.378241,1321.56451,1718.289737,1336.609956,1373.14236,
290.2183095,2347.345176,2115.687082,,2175.639366,1660.061439,1308.6659,1718.44568,1337.958129,1373.156657,2175.639366
290.3085222,2340.87136,2116.084742,1602.611478,2176.522942,1659.18645,1291.077474,1718.486789,1340.204184,1373.297193,2176.522942
290.3953528,2339.42495,2115.763556,,2175.735305,1653.174705,1289.013729,1718.798658,1338.79976,1373.34743,2175.735305
290.4854659,2348.891226,2115.342765,,2176.57246,1648.80308,1300.857376,1718.842027,1337.116747,1373.411352,2176.57246
290.5692069,2330.758832,2115.906722,1602.90948,2176.885343,1639.832569,1311.894964,1719.155117,1339.333468,1373.435423,2176.885343
290.6533528,2349.022566,2115.820551,1603.042038,2177.142161,1615.229266,1329.795327,1719.472121,1339.64548,1373.431535,2177.142161
290.7361528,2328.449271,,,2176.575003,1598.836016,1344.098924,1719.837707,,1373.573262,2176.575003
290.7364108,,2116.055039,,,,,,1336.060405,,
290.82737,,,1603.410525,,1597.722152,1359.376267,1719.99139,1336.955484,,
290.8276233,2346.133914,,,2177.334089,,,,,1373.564798,2177.334089
290.9146574,2330.328557,2116.147164,1603.831864,2177.238607,1605.333024,1346.85668,1720.445468,1340.12157,1373.639839,2177.238607
290.9903698,2344.957398,,,2177.522392,1611.526378,1321.598273,1720.72492,,1373.677556,2177.522392
290.9906305,,2116.380707,1603.751472,,,,,1338.756606,,
291.070474,2335.258112,2116.179453,1603.876508,2177.946294,1609.161798,1307.089279,1721.001842,1337.905874,1373.737415,2177.946294
291.1502179,2339.272268,2116.497203,1603.587136,2178.349488,1603.176705,1292.375985,1721.25177,1339.65422,1373.786056,2178.349488
291.2375072,2342.902434,2115.935309,1604.126204,2178.632315,1597.971287,1298.790314,1721.412388,1338.851589,1373.84233,2178.632315
291.3164166,2332.113739,2116.381976,1604.433418,,1600.848962,1310.933691,1721.047534,1336.991263,1373.896197,
291.4059248,2346.142919,2116.521608,1604.395602,2179.298261,,,,1338.348657,1373.988389,2179.298261
291.4062058,,,,,1615.993846,1313.687839,1721.695867,,,
291.493023,2324.797319,2116.496834,1604.575196,2179.52126,1639.746985,1331.31375,1722.421869,1340.659976,1373.998437,2179.52126
291.5731166,2349.343071,2116.55266,1604.319088,,1665.251765,1347.461392,1722.00743,1337.99766,1374.130364,
291.6579751,2328.68088,2116.880442,1604.490398,2179.821736,1671.509195,1358.584614,1722.622477,1337.602365,1374.130567,2179.821736
291.7445597,2350.881904,2116.812369,1604.607343,2180.131211,1662.000631,1343.177348,1722.493293,1339.497777,1374.169558,2180.131211
291.8334941,2338.596698,2116.633274,1605.281618,2180.4689,1658.221718,1319.366723,1723.028586,1340.074341,1374.173435,2180.4689
291.9122985,2345.073941,2116.269867,1605.807241,2180.659791,1653.171977,1304.791584,1722.853924,1338.073833,1374.243807,2180.659791
291.9931053,2345.536707,2116.577843,1606.022191,2180.820251,1646.25948,1294.595907,1723.343866,1339.241447,1374.313446,2180.820251
292.0686904,2335.173073,2116.070574,1605.952253,2181.302661,1640.979008,1306.04039,1723.509174,1339.681706,1374.393948,2181.302661
292.149245,2350.967005,2116.276831,1605.654046,2181.739983,1623.058714,1309.731274,1723.62097,1339.229522,1374.431684,2181.739983
292.23088,,2116.367209,1606.113238,,1594.32721,1318.097996,1724.040951,1338.400641,,
292.2311348,2329.773224,,,2181.542687,,,,,1374.488874,2181.542687
292.3141082,2351.943413,2116.066166,1605.489246,2181.548508,1585.899969,1338.792437,1724.272782,1338.809109,1374.568314,2181.548508
292.3973271,2333.885339,,,2181.817671,1595.179376,1355.884366,1724.418453,,1374.567838,2181.817671
292.3975962,,2116.481641,1605.927013,,,,,1339.561124,,
292.4797431,2347.207079,2116.984268,1606.187929,2182.157714,,,,1339.98107,1374.586725,2182.157714
292.4799965,,,,,1601.382855,1360.683114,1724.240568,,,
292.5563804,2337.188893,2116.567445,,,1609.472084,1337.948583,1724.671162,1337.318483,1374.7432,
292.6455202,2342.542034,2116.801333,1606.283383,2182.856723,1607.478514,1312.793027,,1340.194326,1374.759347,2182.856723
292.7239622,2344.689002,2116.947129,1606.78142,,1598.775753,1302.095646,1725.12798,1340.757546,1374.771605,
292.811635,2335.799266,,1606.980969,2183.472578,1596.776162,1297.697835,1725.199805,1338.932697,1374.90575,2183.472578
292.8963868,2349.87951,,1607.032731,2183.659737,1603.376864,1307.069244,1725.442968,1339.289355,1374.995799,2183.659737
292.9860458,2326.979451,2117.135563,1607.48597,2183.822404,1631.426519,1307.370759,1726.121866,1340.105327,1374.958758,2183.822404
293.0638415,2350.536127,2117.260168,1607.382992,2184.494368,1658.944868,1317.411163,1725.787517,1338.038588,1375.083911,2184.494368
293.1437133,2328.285196,2116.948262,1607.654833,2183.909285,1674.24682,1346.79334,1726.538839,,1375.110637,2183.909285
293.2280679,2347.796804,2117.511731,1608.098224,2184.232216,1666.567575,1360.912524,1726.674631,1340.870287,1375.119981,2184.232216
293.3108015,2334.856888,2117.363728,1607.590129,2184.545002,1655.050044,1361.755948,1726.944403,1341.053504,1375.251342,2184.545002
293.4003711,2344.342193,2117.342137,1607.912006,,1655.186257,1338.140766,,1337.877469,1375.212203,
293.4759586,2342.980655,,1608.131831,2185.161289,1658.100719,1313.17839,1727.605566,1339.688047,1375.313842,2185.161289
293.5655356,2337.731897,2117.552577,1608.731637,2185.687412,1641.176431,1300.630312,1727.818319,1341.105152,1375.313435,2185.687412
293.6475421,2350.372956,2118.082775,1608.44509,2186.158971,1632.159323,1298.709995,1727.530839,1339.200723,1375.464636,2186.158971
293.7237803,2328.953954,2117.85905,1608.361062,2186.576901,,,,1338.004628,1375.423459,2186.576901
293.7240663,,,,,1603.604766,1307.012013,1727.693383,,,
293.8080712,2355.136182,2118.010531,1608.86902,2185.906497,1597.073546,1307.934697,1728.048405,1340.159608,1375.559155,2185.906497
293.8907074,2330.606997,,,2186.687743,1595.764165,1326.26799,1728.275704,,1375.631156,2186.687743
293.8910019,,2117.653257,1609.235214,,,,,1341.004045,,
293.9766567,2352.69035,2117.877863,1609.026569,2186.522237,,,,1337.434841,1375.646475,2186.522237
293.9769127,,,,,1604.570903,1353.181735,,,,
294.0525973,2338.939695,,1609.090286,2186.038103,1607.971334,1364.264918,1728.873804,1339.270373,1375.73416,2186.038103
294.1276587,2344.674955,,1609.397882,2187.213436,1607.857526,1358.383404,,1341.009373,1375.76906,2187.213436
294.2072871,2345.741755,,1609.288619,2186.785074,1605.67322,1326.404065,1729.473553,1339.192834,1375.742472,2186.785074
294.2974982,2336.321702,2117.78868,1609.583397,2186.94518,1601.59272,1310.193382,,1338.648268,1375.866911,2186.94518
294.3854628,2349.500043,,1609.308313,2187.071586,1604.887989,1295.807266,,1339.762265,1375.836431,2187.071586
294.4679402,2329.469014,2118.178294,1610.235145,2187.288747,1615.422815,1297.758939,,1341.050596,1375.892002,2187.288747
294.5470545,2350.615382,2118.426139,1610.077049,2187.686668,1641.593431,1305.466598,1729.638694,1339.479902,1376.00997,2187.686668
294.6284705,2327.336523,2118.24837,,2187.693414,1661.99808,1307.244596,1730.153287,1339.592513,1376.089645,2187.693414
294.714515,2347.737014,2118.020361,1610.664628,2187.871735,1672.674099,1330.498334,1730.344317,1341.234304,1376.144761,2187.871735
294.8014713,2333.396434,2117.976827,,,1661.165466,1352.394499,,1339.241185,1376.059229,
294.8804759,2343.852502,2117.730874,1610.248396,2188.068382,,,,1337.712174,1376.128705,2188.068382
294.8807603,,,,,1657.291993,1365.895956,1730.700582,,,
294.96611,2339.073119,2117.836954,1610.481571,2187.888749,1658.823811,1362.741284,1730.719041,1340.199641,1376.237835,2187.888749
295.0566079,2337.756684,2118.614838,1610.905699,2188.679354,1649.150664,1325.13209,1731.238226,1340.95576,1376.322116,2188.679354
295.1405166,2344.34324,2118.05524,,2188.377473,1642.286482,1307.962771,1730.989995,1340.967655,1376.289439,2188.377473
295.223945,2331.571421,2118.485087,1610.703477,2189.145943,1611.778624,1294.971167,1730.509294,1340.097359,1376.405329,2189.145943
295.3043948,2349.634723,,1611.084113,2188.867733,,,,1341.723456,1376.41144,2188.867733
295.3046787,,,,,1599.098814,1301.089951,1731.601707,,,
295.3810492,2326.871322,2118.561487,1610.90776,2188.650047,1602.552086,1304.401748,1731.506624,1341.121392,1376.445598,2188.650047
295.4653392,2353.248061,2118.669881,1611.369431,2188.957543,,,,1337.959609,1376.480179,2188.957543
295.46561,,,,,1605.79974,1310.224708,1732.122427,,,
295.5407036,2332.969005,2118.506637,1611.80024,2189.474759,1606.08102,1333.67543,1731.860747,1338.219331,1376.546322,2189.474759
295.6322278,2349.885381,2119.066158,1612.000338,2189.82616,1608.13956,1353.391892,1732.536406,1340.222168,1376.611787,2189.82616
295.7231061,2343.904223,2118.604701,1611.880618,,1609.908299,1367.241267,1732.893753,1339.703211,1376.677119,
295.8125398,2341.797262,2118.660487,1611.609346,2190.563728,1602.443867,1351.547635,1733.13617,1340.378557,1376.745677,2190.563728
295.8971552,2349.066553,2118.660839,1612.07152,2190.182327,1606.429897,1310.305587,1733.579015,1341.910352,1376.762403,2190.182327
295.9736108,2333.409349,2119.08519,1612.141015,2190.936766,1618.367763,1298.350397,1733.838207,1343.564638,1376.779128,2190.936766
296.0508714,2350.170719,2119.179829,1612.705476,2191.13185,1636.63997,1293.965585,1734.207261,1338.957321,1376.810377,2191.13185
296.1343894,2331.070416,2118.872077,1612.727411,2190.68273,1657.62224,1306.31457,1734.894861,1337.695936,1376.921922,2190.68273
296.2111417,2350.592106,2119.369909,1612.619912,2191.061096,1668.696549,1306.253913,1735.241815,1340.174751,1376.976711,2191.061096
296.2967122,2331.540944,2118.789031,1612.983926,2191.258506,1662.723896,1316.151241,1735.690627,1340.937314,1376.970024,2191.258506
296.3808584,2347.110127,2119.167011,1613.705095,,1654.507234,1337.592902,1736.205116,1340.174468,1377.003646,
296.4583954,2337.35013,2119.171677,1613.393396,2191.463196,1653.179079,1354.978132,1736.420656,1341.179774,1377.085583,2191.463196
296.5481294,2342.971937,2119.291846,1613.810389,2191.53167,1646.484481,1356.684132,1737.198619,1342.967496,1377.093224,2191.53167
296.6283677,2343.767284,,1613.632464,2191.788222,1643.300629,1329.421967,1737.650342,1340.875042,1377.229716,2191.788222
296.7144141,,,,,1620.506665,1297.805586,1737.805331,,,
296.7147152,2334.978739,2119.646701,1613.910723,2191.963606,,,,1339.454672,1377.252024,2191.963606
296.7931376,2347.783377,,,,1597.732584,1286.658217,1737.990779,,1377.307402,
296.7933901,,2119.566079,1614.164877,,,,,1341.009584,,
296.8836094,2327.35318,2119.690312,,2192.320353,1601.792774,1300.033948,1738.806728,1340.861192,1377.270157,2192.320353
296.9599707,2350.331987,2119.741189,1614.311698,2192.555147,1606.747198,1311.496467,1739.154988,1337.146629,1377.358467,2192.555147
297.04379,2326.811314,2119.605064,1614.669052,2192.533858,,,,1340.824868,1377.435997,2192.533858
297.0440712,,,,,1612.472731,1308.489933,1739.329822,,,
297.1323999,2352.794591,2119.514522,1614.940753,2192.373071,1614.185038,1318.798593,1740.316764,1342.074715,1377.481965,2192.373071
297.2110063,2336.032873,2119.734573,1614.326034,2192.760152,1607.666709,1342.521773,1740.108479,1341.001345,1377.51106,2192.760152
297.2894846,2350.168043,2119.998294,1615.25475,2192.623955,1599.879086,1354.38314,1741.116548,1338.553681,1377.475664,2192.623955
297.3786566,2347.828663,2119.824843,,2192.867245,1600.991583,1334.114397,1741.393319,1341.272037,1377.60412,2192.867245
297.4663606,2339.58377,,1615.111279,2193.181398,1620.739123,1301.944349,1741.78936,1340.123114,1377.680737,2193.181398
297.549177,2353.198715,2119.894196,1615.338598,2193.448967,1650.373179,1281.466782,1741.625103,1339.092981,1377.641554,2193.448967
297.6353589,2333.450345,,1615.809784,2193.567441,1665.37386,1295.417531,1742.735451,1341.208006,1377.70571,2193.567441
297.7246394,2355.649586,2120.103873,1615.418503,2193.95475,1668.003716,1309.768796,1742.880276,1343.060284,1377.742974,2193.95475
297.8065585,2335.469215,2120.243759,1615.809289,2194.241305,1647.048348,1311.808238,1743.715185,1341.149465,1377.763249,2194.241305
297.8892664,2352.692128,2120.375721,1615.688127,,1641.727691,1308.587208,1744.125998,1339.348268,1377.890619,
297.9756306,2339.567656,2120.286815,1615.929951,2194.558856,1654.685063,1330.904019,1743.980205,1342.621573,1377.869339,2194.558856
298.0601451,2346.466755,2120.528168,1616.23566,2194.460681,1644.139901,1346.496575,1744.740675,1342.14648,1377.938776,2194.460681
298.1374573,2343.451329,,1616.153612,2194.323223,1626.709285,1341.302913,1744.936667,1338.092725,1378.00805,2194.323223
298.2275127,2338.445332,,1616.432357,2194.799624,1606.785412,1309.790947,1745.60958,1339.959137,1378.081176,2194.799624
298.3071942,,,,,1599.580345,1277.352153,1745.40715,,,
298.3074835,2352.152518,2119.985628,1616.798489,2195.180398,,,,1343.004612,1378.112315,2195.180398
298.3849912,,2120.356882,1616.914015,,1607.861811,1288.680192,1745.903649,1340.56076,,
298.3852453,2331.381431,,,2194.855274,,,,,1378.193822,2194.855274
298.4646965,2354.187003,2120.777243,1616.705234,2194.74744,1612.870033,1299.795179,1746.737296,1340.453799,1378.159118,2194.74744
298.5401516,2329.325038,2120.483783,1617.379551,2195.502993,,,,1342.256643,1378.262414,2195.502993
298.5404138,,,,,1605.896858,1311.302534,1746.904234,,,
